areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-12-07,,6027.0,
E92000001,England,nation,2021-12-06,,5992.0,10661.0
E92000001,England,nation,2021-12-05,,5903.0,30941.0
E92000001,England,nation,2021-12-04,,5784.0,30342.0
E92000001,England,nation,2021-12-03,,5851.0,37366.0
E92000001,England,nation,2021-12-02,,5915.0,41465.0
E92000001,England,nation,2021-12-01,,5829.0,45706.0
E92000001,England,nation,2021-11-30,,6123.0,46254.0
E92000001,England,nation,2021-11-29,,6094.0,46489.0
E92000001,England,nation,2021-11-28,,5890.0,33010.0
E92000001,England,nation,2021-11-27,,5852.0,27739.0
E92000001,England,nation,2021-11-26,146563.0,5992.0,32849.0
E92000001,England,nation,2021-11-25,146509.0,6068.0,36210.0
E92000001,England,nation,2021-11-24,146424.0,6062.0,38880.0
E92000001,England,nation,2021-11-23,146345.0,6257.0,40072.0
E92000001,England,nation,2021-11-22,146251.0,6424.0,41894.0
E92000001,England,nation,2021-11-21,146168.0,6322.0,31038.0
E92000001,England,nation,2021-11-20,146082.0,6191.0,29205.0
E92000001,England,nation,2021-11-19,145988.0,6310.0,32461.0
E92000001,England,nation,2021-11-18,145891.0,6336.0,36226.0
E92000001,England,nation,2021-11-17,145796.0,6412.0,37422.0
E92000001,England,nation,2021-11-16,145708.0,6623.0,37681.0
E92000001,England,nation,2021-11-15,145584.0,6864.0,41520.0
E92000001,England,nation,2021-11-14,145460.0,6707.0,28906.0
E92000001,England,nation,2021-11-13,145361.0,6639.0,26798.0
E92000001,England,nation,2021-11-12,145249.0,6777.0,30562.0
E92000001,England,nation,2021-11-11,145151.0,6861.0,32901.0
E92000001,England,nation,2021-11-10,145034.0,6961.0,34559.0
E92000001,England,nation,2021-11-09,144910.0,7053.0,33884.0
E92000001,England,nation,2021-11-08,144785.0,7075.0,35283.0
E92000001,England,nation,2021-11-07,144662.0,6910.0,24879.0
E92000001,England,nation,2021-11-06,144548.0,6874.0,22054.0
E92000001,England,nation,2021-11-05,144417.0,7072.0,23831.0
E92000001,England,nation,2021-11-04,144296.0,7201.0,26064.0
E92000001,England,nation,2021-11-03,144169.0,7291.0,28422.0
E92000001,England,nation,2021-11-02,144041.0,7510.0,30415.0
E92000001,England,nation,2021-11-01,143916.0,7535.0,36744.0
E92000001,England,nation,2021-10-31,143777.0,7311.0,28899.0
E92000001,England,nation,2021-10-30,143634.0,7155.0,27683.0
E92000001,England,nation,2021-10-29,143516.0,7113.0,33263.0
E92000001,England,nation,2021-10-28,143389.0,7019.0,34355.0
E92000001,England,nation,2021-10-27,143238.0,6951.0,35766.0
E92000001,England,nation,2021-10-26,143105.0,6883.0,34548.0
E92000001,England,nation,2021-10-25,142979.0,6801.0,39131.0
E92000001,England,nation,2021-10-24,142860.0,6515.0,29488.0
E92000001,England,nation,2021-10-23,142743.0,6386.0,29177.0
E92000001,England,nation,2021-10-22,142619.0,6405.0,33803.0
E92000001,England,nation,2021-10-21,142509.0,6366.0,37788.0
E92000001,England,nation,2021-10-20,142397.0,6299.0,43111.0
E92000001,England,nation,2021-10-19,142287.0,6099.0,43693.0
E92000001,England,nation,2021-10-18,142181.0,5938.0,48246.0
E92000001,England,nation,2021-10-17,142087.0,5623.0,36771.0
E92000001,England,nation,2021-10-16,141983.0,5385.0,31036.0
E92000001,England,nation,2021-10-15,141880.0,5363.0,35919.0
E92000001,England,nation,2021-10-14,141774.0,5289.0,38466.0
E92000001,England,nation,2021-10-13,141663.0,5246.0,39759.0
E92000001,England,nation,2021-10-12,141567.0,5213.0,40064.0
E92000001,England,nation,2021-10-11,141473.0,5206.0,42281.0
E92000001,England,nation,2021-10-10,141378.0,5077.0,30923.0
E92000001,England,nation,2021-10-09,141298.0,4921.0,26602.0
E92000001,England,nation,2021-10-08,141206.0,4975.0,29265.0
E92000001,England,nation,2021-10-07,141114.0,4962.0,31565.0
E92000001,England,nation,2021-10-06,141019.0,5009.0,31917.0
E92000001,England,nation,2021-10-05,140944.0,5006.0,31593.0
E92000001,England,nation,2021-10-04,140854.0,4909.0,35789.0
E92000001,England,nation,2021-10-03,140774.0,4778.0,26627.0
E92000001,England,nation,2021-10-02,140698.0,4652.0,21442.0
E92000001,England,nation,2021-10-01,140627.0,4799.0,23671.0
E92000001,England,nation,2021-09-30,140526.0,4916.0,26247.0
E92000001,England,nation,2021-09-29,140434.0,5017.0,28141.0
E92000001,England,nation,2021-09-28,140343.0,5126.0,29022.0
E92000001,England,nation,2021-09-27,140259.0,5121.0,33901.0
E92000001,England,nation,2021-09-26,140179.0,4949.0,26269.0
E92000001,England,nation,2021-09-25,140104.0,5100.0,22658.0
E92000001,England,nation,2021-09-24,140016.0,5036.0,25220.0
E92000001,England,nation,2021-09-23,139920.0,5214.0,27715.0
E92000001,England,nation,2021-09-22,139814.0,5406.0,28188.0
E92000001,England,nation,2021-09-21,139703.0,5543.0,29952.0
E92000001,England,nation,2021-09-20,139608.0,5727.0,31457.0
E92000001,England,nation,2021-09-19,139495.0,5695.0,24263.0
E92000001,England,nation,2021-09-18,139398.0,5688.0,20521.0
E92000001,England,nation,2021-09-17,139297.0,5910.0,21914.0
E92000001,England,nation,2021-09-16,139170.0,6081.0,21733.0
E92000001,England,nation,2021-09-15,139056.0,6306.0,21955.0
E92000001,England,nation,2021-09-14,138938.0,6344.0,22143.0
E92000001,England,nation,2021-09-13,138818.0,6424.0,24639.0
E92000001,England,nation,2021-09-12,138743.0,6253.0,17510.0
E92000001,England,nation,2021-09-11,138641.0,6206.0,16605.0
E92000001,England,nation,2021-09-10,138534.0,6400.0,20531.0
E92000001,England,nation,2021-09-09,138425.0,6254.0,23905.0
E92000001,England,nation,2021-09-08,138289.0,6302.0,25062.0
E92000001,England,nation,2021-09-07,138176.0,6244.0,27347.0
E92000001,England,nation,2021-09-06,138051.0,6375.0,32373.0
E92000001,England,nation,2021-09-05,137926.0,6167.0,22975.0
E92000001,England,nation,2021-09-04,137809.0,6043.0,22965.0
E92000001,England,nation,2021-09-03,137694.0,6195.0,28112.0
E92000001,England,nation,2021-09-02,137572.0,6186.0,29979.0
E92000001,England,nation,2021-09-01,137469.0,6236.0,30937.0
E92000001,England,nation,2021-08-31,137370.0,6293.0,32854.0
E92000001,England,nation,2021-08-30,137274.0,6002.0,24399.0
E92000001,England,nation,2021-08-29,137182.0,5855.0,18738.0
E92000001,England,nation,2021-08-28,137070.0,5756.0,19693.0
E92000001,England,nation,2021-08-27,136966.0,5889.0,23713.0
E92000001,England,nation,2021-08-26,136854.0,5893.0,25897.0
E92000001,England,nation,2021-08-25,136749.0,5922.0,27253.0
E92000001,England,nation,2021-08-24,136665.0,5911.0,27552.0
E92000001,England,nation,2021-08-23,136562.0,6000.0,29666.0
E92000001,England,nation,2021-08-22,136466.0,5749.0,21957.0
E92000001,England,nation,2021-08-21,136359.0,5575.0,22146.0
E92000001,England,nation,2021-08-20,136267.0,5576.0,25008.0
E92000001,England,nation,2021-08-19,136161.0,5554.0,28397.0
E92000001,England,nation,2021-08-18,136064.0,5514.0,30694.0
E92000001,England,nation,2021-08-17,135977.0,5437.0,30334.0
E92000001,England,nation,2021-08-16,135892.0,5429.0,30154.0
E92000001,England,nation,2021-08-15,135816.0,5115.0,20838.0
E92000001,England,nation,2021-08-14,135741.0,4973.0,20920.0
